origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2023-10-25,2.9,3.3,-0.508704468154929,0.0,0.012476828284059131,0.16555548560830888,0.21121731717156494,0.21454914345640747,0.17924816965993617,0.18164904805103,1.6007386180802885,1.297336684408747,0.77575,False,True,True,0.5519788338207892,0.44735747738232656,0.014311607131078485,0.7051104514418364,260
2024-01-19,3.3,3.01,0.27293967123810564,0.0,0.012476828284059131,0.17904015371821705,0.21151582993590656,0.2046548729437873,0.1667743649815303,0.16516276933354157,1.9603732318084264,1.705675362700267,0.26155,True,True,True,0.5940524944874019,0.516871322030384,0.013196584837291025,-0.5834401715277392,320
2024-04-19,3.01,2.68,0.2958849393512118,0.0,0.012476828284059131,0.1734528928546911,0.22369281241476657,0.22351369592940573,0.18312724614998577,0.18476552032906368,1.736001716642948,1.5801195798788412,0.21485,False,True,True,0.5767447563597834,0.5249566710560934,0.012044681827233283,-0.7414123247273356,380
2024-07-16,2.68,2.3,-0.5558725711665918,0.0,0.012476828284059131,0.16926367847753931,0.25414722890545344,0.2574536185316688,0.2038450820547404,0.20937379472692408,1.4895838368447665,1.3967358957811036,0.148,False,True,True,0.5558148644943158,0.5211701103660834,0.010332150787119465,-0.9770820376780743,440
2024-10-08,2.3,2.0,-0.1930122880454798,0.0,0.011344441301750722,0.1570369458465134,0.20351124843811955,0.1986153237061823,0.16311241197594883,0.1624652785065508,1.1917072911632043,1.1620936135557989,0.1468,False,True,True,0.5181336048535671,0.5052580928503474,0.01140209737039033,-0.962234605763407,500
2025-01-03,2.0,1.42,-0.7403912402400855,0.0,0.010206642911232335,0.14907004327494489,0.45770437621269744,0.4743241106244307,0.29959730297075793,0.30058967642469225,4.4506809203548485,5.386328186580796,0.013,False,False,False,0.4895070037506859,0.41067554984061927,0.009597302970757893,-2.365981414572302,560
2025-03-28,1.42,1.34,-0.4848197823832094,0.0,0.010206642911232335,0.1534606300404721,0.06490955513303763,0.06591154704037401,0.046303413395405335,0.04778193419363996,0.7155796939283503,0.6907807133320207,0.30845,True,True,True,0.5039293619213735,0.48646529107888786,0.008878047035782322,-0.4443739123421875,620
2025-06-26,1.34,1.35,-0.8759694966523813,0.0,0.010206642911232335,0.17054592915650146,0.0488536201237435,0.05214878234958073,0.0018895168002075469,1.820012731146292e-05,0.75932464937951,0.7444749878776429,0.492,True,True,True,0.566660186104112,0.55557834916242,0.01028286089583208,-0.01625171845157867,680
2025-09-22,1.35,1.33,-0.9588049484987221,0.0,0.009635698227074576,0.16815183619475907,0.050754685096115915,0.05686440969066392,0.015841438088475934,0.015121570052299194,0.7444586080596816,0.7835085243084934,0.436,True,True,True,0.5514508207849492,0.580376684672958,0.008653982353297618,-0.14606648966534336,740
2025-12-17,1.33,1.09,0.07185784537405851,0.0,0.008489685049532068,0.16481165067866824,0.16400928890203575,0.15801738352745676,0.12636985633419828,0.1253834221864757,0.7251003470268731,0.7932128565794239,0.09315,False,False,True,0.545188230847273,0.5964006440446795,0.009578731329621393,-1.2589579085442526,800
2026-03-16,1.09,1.11,-2.0808880948884783,0.0,0.008489685049532068,0.16971305948440496,0.04047263700429199,0.042297467739462705,0.005375050252406144,0.006325724483739692,0.6120089491616745,0.5956979978940213,0.52675,True,True,True,0.5614761001483252,0.546511924673414,0.008486146325860311,0.057111892644591315,860
